t,x,y
518376,640,144
518379,64,416
518379,80,336
518379,80,432
518379,96,320
518379,96,384
518379,112,224
518379,112,368
518379,144,272
518379,144,336
518379,160,160
518379,176,112
518379,176,256
518379,176,272
518379,208,192
518379,224,112
518379,256,400
518379,272,400
518379,304,192
518379,496,384
518379,640,160
518379,656,128
518379,688,272
518379,736,208
518382,80,368
518382,128,224
518382,144,400
518382,176,336
518382,224,192
518382,240,208
518382,256,112
518382,400,480
518382,512,432
518382,656,128
518382,672,144
518382,672,240
518385,48,416
518385,96,416
518385,144,288
518385,192,208
518385,208,128
518385,224,400
518385,240,384
518385,256,352
518385,448,496
518388,0,528
518388,64,448
518388,96,256
518388,112,224
518388,112,416
518388,144,352
518388,192,400
518388,272,128
518388,272,384
518388,320,336
518388,512,592
518388,656,112
518391,176,272
518391,192,144
518391,208,320
518391,224,368
518391,256,176
518391,288,240
518391,512,384
518391,704,176
518391,720,160
518394,64,448
518394,96,416
518394,128,240
518394,160,416
518394,256,160
518394,512,384
518394,576,432
518394,736,160
518394,1072,656
518397,32,512
518397,64,400
518397,160,384
518397,176,320
518397,192,384
518397,256,192
518397,320,304
518397,352,368
518397,352,384
518397,624,176
518397,624,240
518397,672,176
518397,672,192
518397,704,224
518397,720,240
518400,48,496
518400,96,256
518400,160,160
518400,176,352
518400,192,192
518400,208,144
518400,208,304
518400,208,416
518400,304,256
518400,624,224
518400,768,192
518400,1024,688
518403,48,512
518403,80,384
518403,80,400
518403,96,224
518403,96,272
518403,128,176
518403,160,416
518403,176,256
518403,192,96
518403,192,304
518403,224,176
518403,224,288
518403,240,400
518403,256,192
518406,64,384
518406,80,464
518406,176,352
518406,192,272
518406,208,304
518406,256,208
518406,320,416
518406,464,512
518406,672,144
518406,720,192
518406,1056,640
518409,16,496
518409,32,432
518409,96,432
518409,112,256
518409,144,240
518409,144,368
518409,144,416
518409,176,416
518409,192,384
518409,224,224
518409,304,288
518409,416,496
518409,656,144
518409,720,208
518409,736,192
518409,736,240
518412,112,288
518412,160,176
518412,160,400
518412,160,416
518412,192,272
518412,192,368
518412,208,304
518412,224,320
518412,240,352
518412,256,224
518412,528,384
518412,544,640
518412,768,208
518415,16,528
518415,80,448
518415,96,384
518415,176,288
518415,192,336
518415,240,272
518415,272,144
518415,320,368
518415,400,400
518415,736,256
518418,128,384
518418,144,192
518418,144,416
518418,160,112
518418,176,320
518418,176,416
518418,208,368
518418,256,272
518418,272,272
518418,416,528
518418,1072,672
518418,1072,720
518421,112,416
518421,208,336
518421,272,368
518421,304,208
518421,384,448
518421,496,576
518421,560,448
518421,688,128
518421,704,144
518421,784,192
518424,32,448
518424,48,464
518424,112,320
518424,160,224
518424,160,272
518424,160,304
518424,176,144
518424,208,128
518424,256,320
518424,288,176
518424,288,304
518424,416,448
518424,640,128
518424,656,272
518424,704,208
518424,768,192
518424,1072,688
518427,64,400
518427,64,416
518427,80,352
518427,144,416
518427,208,336
518427,256,144
518427,272,128
518427,304,368
518427,640,160
518427,1072,656
518430,96,432
518430,144,240
518430,160,416
518430,272,224
518430,304,368
518430,496,560
518430,512,544
518430,544,416
518430,624,160
518430,704,192
518433,80,416
518433,112,240
518433,144,224
518433,176,304
518433,240,416
518433,256,128
518433,304,320
518433,464,384
518433,480,416
518433,560,640
518433,656,176
518433,704,176
518433,736,208
518436,64,448
518436,64,464
518436,160,240
518436,160,272
518436,176,144
518436,192,288
518436,224,384
518436,240,320
518436,272,304
518436,464,592
518436,560,416
518436,624,176
518436,720,160
518436,736,176
518439,80,304
518439,144,144
518439,176,272
518439,256,224
518439,256,240
518439,288,320
518439,304,352
518439,304,368
518439,320,400
518439,528,448
518439,640,144
518439,704,160
518442,16,512
518442,80,320
518442,128,240
518442,144,272
518442,160,400
518442,224,320
518442,240,224
518442,272,128
518442,272,192
518442,272,240
518442,320,304
518442,512,576
518442,640,176
518442,640,192
518442,688,176
518442,720,160
518445,128,400
518445,160,192
518445,240,112
518445,288,176
518445,560,368
518445,560,400
518445,624,128
518448,16,528
518448,32,480
518448,112,384
518448,144,336
518448,160,368
518448,176,112
518448,176,352
518448,288,384
518448,336,336
518448,544,464
518448,560,384
518448,592,480
518451,32,544
518451,80,400
518451,96,256
518451,112,208
518451,176,368
518451,208,256
518451,352,400
518451,384,368
518451,496,496
518451,528,592
518451,544,608
518451,640,176
518451,688,176
518451,688,256
518454,96,336
518454,96,352
518454,144,352
518454,160,176
518454,208,192
518454,208,304
518454,256,336
518454,464,416
518454,480,576
518454,512,496
518454,544,384
518454,560,448
518454,576,368
518454,640,128
518454,672,272
518454,720,192
518457,48,464
518457,80,304
518457,128,320
518457,160,192
518457,208,320
518457,224,128
518457,240,320
518457,288,320
518457,320,304
518457,448,432
518457,480,544
518457,512,400
518457,544,592
518457,560,544
518457,560,608
518457,640,176
518457,704,224
518460,144,288
518460,160,256
518460,176,144
518460,176,192
518460,192,256
518460,208,144
518460,208,192
518460,224,256
518460,224,320
518460,272,384
518460,304,256
518460,384,464
518460,432,544
518460,464,592
518460,480,528
518460,544,560
518460,576,576
518460,640,160
518460,720,192
518463,32,512
518463,112,240
518463,112,272
518463,112,288
518463,128,192
518463,144,272
518463,176,144
518463,176,256
518463,208,208
518463,208,240
518463,240,256
518463,256,368
518463,272,288
518463,272,368
518463,288,416
518463,304,176
518463,432,384
518463,592,544
518463,656,128
518463,736,240
518463,768,208
518463,768,224
518466,0,544
518466,128,288
518466,128,400
518466,160,240
518466,192,192
518466,208,144
518466,224,288
518466,224,320
518466,240,336
518466,256,304
518466,496,544
518466,496,576
518466,640,192
518466,672,192
518466,672,272
518466,688,256
518466,720,192
518469,16,512
518469,64,416
518469,96,304
518469,144,336
518469,160,304
518469,192,256
518469,224,96
518469,224,224
518469,240,176
518469,240,240
518469,256,320
518469,448,512
518469,768,192
518472,80,272
518472,96,272
518472,144,176
518472,176,144
518472,224,288
518472,240,208
518472,256,320
518472,256,352
518472,288,208
518472,288,320
518472,384,384
518472,512,464
518472,544,448
518472,640,160
518472,736,192
518475,48,416
518475,48,432
518475,176,384
518475,192,192
518475,208,272
518475,240,128
518475,256,160
518475,256,192
518475,304,400
518475,656,176
518475,1088,704
518478,80,352
518478,112,288
518478,128,208
518478,144,320
518478,160,240
518478,176,192
518478,192,96
518478,208,112
518478,224,96
518478,224,160
518478,224,256
518478,224,272
518478,256,240
518478,256,272
518478,256,288
518478,272,144
518478,320,384
518478,528,512
518478,576,400
518478,704,160
518478,1056,704
518481,64,464
518481,128,208
518481,128,240
518481,128,304
518481,144,160
518481,160,128
518481,192,208
518481,208,160
518481,208,192
518481,224,176
518481,240,96
518481,272,176
518481,288,240
518481,400,480
518481,448,400
518481,560,384
518481,688,176
518484,80,272
518484,80,352
518484,96,384
518484,112,400
518484,128,288
518484,144,160
518484,144,352
518484,208,224
518484,208,320
518484,224,128
518484,224,224
518484,224,240
518484,240,192
518484,256,128
518484,256,160
518484,288,368
518484,384,400
518484,400,400
518484,416,400
518484,432,464
518484,512,576
518484,528,416
518484,544,464
518484,576,512
518484,656,240
518484,672,192
518484,704,144
518484,704,272
518484,1072,688
518487,0,480
518487,96,240
518487,112,304
518487,144,224
518487,176,256
518487,208,208
518487,224,128
518487,256,224
518487,272,144
518487,288,144
518487,288,256
518487,304,224
518487,368,352
518487,448,512
518487,464,368
518487,480,496
518487,672,208
518487,672,240
518490,0,496
518490,96,336
518490,144,128
518490,144,144
518490,144,224
518490,160,416
518490,176,176
518490,208,208
518490,240,96
518490,256,272
518490,304,352
518490,320,288
518490,320,304
518490,336,352
518490,352,368
518490,384,400
518490,512,480
518490,576,368
518490,624,208
518490,624,256
518493,144,272
518493,160,208
518493,176,128
518493,192,272
518493,240,304
518493,272,208
518493,272,416
518493,288,304
518493,336,400
518493,384,448
518493,464,384
518493,512,528
518493,512,576
518493,528,560
518493,528,656
518493,544,384
518493,544,432
518493,640,112
518493,720,160
518493,752,224
518493,768,192
518496,128,176
518496,128,224
518496,160,176
518496,160,400
518496,176,128
518496,208,128
518496,224,416
518496,240,416
518496,256,304
518496,272,224
518496,272,304
518496,288,288
518496,336,336
518496,384,432
518496,448,464
518496,464,544
518496,496,560
518496,576,480
518496,576,560
518496,592,432
518496,784,192
518499,32,544
518499,96,272
518499,128,400
518499,176,128
518499,176,352
518499,208,320
518499,224,192
518499,256,144
518499,256,176
518499,256,400
518499,288,256
518499,320,304
518499,320,400
518499,368,432
518499,432,384
518499,528,544
518499,640,176
518499,640,256
518499,672,144
518499,736,176
518499,736,192
518502,96,224
518502,96,240
518502,96,304
518502,160,224
518502,208,112
518502,224,160
518502,240,128
518502,240,160
518502,240,240
518502,272,272
518502,288,192
518502,320,304
518502,320,384
518502,384,496
518502,448,560
518502,464,560
518502,480,400
518502,512,432
518502,528,384
518502,544,400
518502,544,528
518502,672,240
518502,1088,704
518505,80,304
518505,96,240
518505,144,272
518505,144,416
518505,192,96
518505,224,272
518505,256,112
518505,256,144
518505,272,304
518505,272,320
518505,288,256
518505,320,352
518505,496,528
518505,496,560
518505,512,432
518505,544,496
518505,784,208
518508,64,416
518508,80,304
518508,80,384
518508,96,384
518508,144,144
518508,144,176
518508,160,400
518508,176,320
518508,192,144
518508,192,240
518508,240,192
518508,240,320
518508,288,240
518508,400,432
518508,464,368
518508,464,480
518508,496,368
518508,496,464
518508,496,576
518508,528,624
518508,560,496
518508,624,176
518508,688,288
518511,96,224
518511,112,288
518511,112,320
518511,112,416
518511,144,208
518511,160,176
518511,160,368
518511,176,96
518511,176,176
518511,208,176
518511,208,224
518511,240,160
518511,240,208
518511,240,256
518511,256,176
518511,272,208
518511,288,144
518511,320,336
518511,416,480
518511,416,496
518511,480,368
518511,512,368
518511,528,656
518511,736,240
518514,112,416
518514,176,176
518514,176,384
518514,192,176
518514,224,352
518514,240,208
518514,240,224
518514,368,352
518514,368,464
518514,448,544
518514,464,576
518514,480,368
518514,512,592
518514,560,384
518514,640,160
518514,736,208
518517,32,448
518517,48,512
518517,128,256
518517,144,304
518517,144,352
518517,144,384
518517,176,288
518517,176,320
518517,192,208
518517,208,304
518517,224,304
518517,240,176
518517,288,384
518517,352,400
518517,416,384
518517,432,496
518517,448,544
518517,464,416
518517,480,624
518517,544,496
518517,544,576
518517,560,464
518517,592,448
518520,96,272
518520,112,256
518520,112,384
518520,128,320
518520,144,336
518520,144,400
518520,160,128
518520,160,256
518520,240,240
518520,240,320
518520,272,368
518520,432,464
518520,432,480
518520,496,544
518520,752,208
518523,96,400
518523,128,240
518523,160,144
518523,160,384
518523,176,176
518523,176,384
518523,224,144
518523,288,320
518523,304,176
518523,304,256
518523,336,384
518523,384,416
518523,384,432
518523,432,432
518523,432,448
518523,448,448
518523,464,400
518523,496,432
518523,512,640
518523,528,512
518523,528,544
518523,528,608
518523,544,400
518523,576,528
518523,592,400
518523,784,192
518523,1088,688
518526,112,224
518526,112,240
518526,128,176
518526,208,208
518526,208,240
518526,224,192
518526,256,256
518526,256,272
518526,272,320
518526,288,304
518526,288,368
518526,304,384
518526,432,416
518526,464,368
518526,464,432
518526,544,512
518526,560,576
518526,592,432
518526,656,112
518526,720,192
518526,768,192
518529,112,304
518529,160,240
518529,160,384
518529,208,272
518529,240,208
518529,256,240
518529,256,416
518529,272,192
518529,288,160
518529,288,192
518529,304,352
518529,352,400
518529,384,400
518529,416,496
518529,448,368
518529,480,368
518529,512,592
518529,544,496
518529,544,528
518529,560,624
518529,672,128
518529,672,224
518529,736,240
518532,32,496
518532,48,480
518532,80,304
518532,112,320
518532,128,240
518532,128,272
518532,144,128
518532,176,224
518532,176,352
518532,208,240
518532,240,112
518532,240,192
518532,256,320
518532,288,336
518532,304,224
518532,304,304
518532,320,368
518532,352,416
518532,416,464
518532,464,560
518532,496,432
518532,496,560
518532,512,480
518532,528,368
518532,560,560
518532,576,448
518532,672,144
518532,704,160
518532,736,192
518535,32,432
518535,112,352
518535,144,240
518535,144,320
518535,160,208
518535,192,320
518535,192,416
518535,208,112
518535,208,144
518535,240,144
518535,240,368
518535,256,208
518535,272,128
518535,288,416
518535,384,368
518535,416,368
518535,480,496
518535,512,416
518535,528,656
518535,544,640
518535,560,480
518535,560,592
518535,592,496
518535,720,224
518535,1040,688
518538,16,512
518538,112,208
518538,128,304
518538,160,336
518538,192,144
518538,208,288
518538,208,352
518538,224,144
518538,224,304
518538,240,96
518538,256,272
518538,288,368
518538,400,416
518538,432,448
518538,496,528
518538,560,416
518538,560,640
518538,592,464
518538,592,480
518538,624,288
518538,720,272
518538,1072,720
518541,112,288
518541,144,368
518541,160,144
518541,160,176
518541,160,400
518541,192,192
518541,224,144
518541,240,192
518541,288,240
518541,288,304
518541,304,224
518541,304,288
518541,448,512
518541,448,544
518541,464,528
518541,512,528
518541,528,416
518541,528,464
518541,560,432
518541,560,448
518541,576,512
518541,624,272
518541,720,240
518541,1072,704
518544,144,224
518544,160,224
518544,176,176
518544,176,192
518544,192,304
518544,208,208
518544,208,272
518544,208,320
518544,224,256
518544,256,256
518544,272,176
518544,288,352
518544,304,192
518544,464,512
518544,576,592
518544,592,544
518544,592,576
518544,624,288
518547,112,208
518547,128,192
518547,144,144
518547,160,160
518547,176,112
518547,208,304
518547,224,96
518547,256,256
518547,272,320
518547,288,352
518547,320,320
518547,320,352
518547,432,448
518547,448,416
518547,448,560
518547,464,464
518547,464,528
518547,480,416
518547,496,384
518547,528,384
518547,576,496
518547,624,288
518547,656,256
518547,672,160
518550,32,480
518550,80,368
518550,128,240
518550,160,272
518550,240,224
518550,240,256
518550,256,144
518550,256,336
518550,352,416
518550,368,400
518550,368,416
518550,368,464
518550,384,416
518550,432,480
518550,432,512
518550,464,528
518550,528,448
518550,528,576
518550,592,416
518550,592,560
518550,1024,688
518553,0,496
518553,96,368
518553,160,112
518553,208,256
518553,208,384
518553,224,208
518553,224,256
518553,224,320
518553,240,144
518553,256,288
518553,256,352
518553,272,128
518553,272,192
518553,272,352
518553,368,480
518553,384,368
518553,384,448
518553,416,432
518553,416,464
518553,432,496
518553,464,368
518553,480,464
518553,512,384
518553,512,464
518553,512,512
518553,512,608
518553,528,448
518553,576,368
518553,576,512
518553,1072,688
518556,112,256
518556,144,224
518556,144,304
518556,160,192
518556,176,112
518556,176,160
518556,176,256
518556,208,176
518556,208,400
518556,240,128
518556,272,208
518556,272,224
518556,368,400
518556,416,512
518556,432,480
518556,432,512
518556,448,544
518556,496,368
518556,592,432
518556,704,208
518556,752,176
518559,0,480
518559,48,480
518559,96,416
518559,176,176
518559,224,208
518559,240,144
518559,288,240
518559,288,384
518559,304,224
518559,336,320
518559,416,416
518559,464,512
518559,496,592
518559,512,560
518559,544,416
518559,560,560
518562,48,464
518562,128,272
518562,144,144
518562,144,256
518562,144,304
518562,144,352
518562,176,400
518562,272,224
518562,288,304
518562,288,320
518562,336,352
518562,352,400
518562,464,448
518562,496,656
518562,528,432
518562,560,400
518562,560,640
518562,576,400
518562,576,640
518562,592,544
518562,672,176
518562,688,224
518562,1056,656
518562,1072,704
518565,80,336
518565,112,272
518565,128,192
518565,128,256
518565,144,128
518565,160,240
518565,176,192
518565,176,304
518565,208,176
518565,208,224
518565,224,160
518565,224,400
518565,256,208
518565,256,272
518565,272,160
518565,336,336
518565,368,352
518565,368,384
518565,416,432
518565,448,400
518565,448,528
518565,448,544
518565,464,448
518565,480,432
518565,480,576
518565,512,544
518565,672,160
518565,688,208
518565,704,272
518565,752,176
518568,32,512
518568,96,368
518568,112,400
518568,144,224
518568,144,384
518568,144,416
518568,160,208
518568,160,384
518568,192,208
518568,192,256
518568,192,400
518568,240,288
518568,240,304
518568,256,368
518568,256,400
518568,304,240
518568,304,336
518568,336,352
518568,352,384
518568,416,496
518568,432,512
518568,480,480
518568,528,528
518568,560,528
518568,656,160
518568,656,176
518571,0,512
518571,32,464
518571,96,368
518571,112,320
518571,144,320
518571,160,176
518571,192,160
518571,192,368
518571,208,368
518571,224,160
518571,224,336
518571,240,272
518571,240,352
518571,240,416
518571,256,368
518571,272,288
518571,320,352
518571,352,368
518571,400,464
518571,464,400
518571,464,432
518571,464,496
518571,496,544
518571,544,672
518571,560,576
518571,592,400
518571,592,480
518571,1056,640
518574,48,416
518574,128,192
518574,144,208
518574,160,128
518574,192,192
518574,192,304
518574,224,240
518574,224,288
518574,224,352
518574,240,304
518574,256,208
518574,256,304
518574,272,192
518574,272,256
518574,304,240
518574,352,400
518574,464,624
518574,480,400
518574,480,416
518574,528,464
518574,576,640
518574,592,544
518574,592,560
518574,672,160
518574,688,240
518574,736,256
518577,16,528
518577,32,432
518577,48,416
518577,128,192
518577,128,256
518577,208,112
518577,208,256
518577,224,352
518577,240,304
518577,256,304
518577,336,320
518577,368,384
518577,368,432
518577,496,464
518577,560,464
518577,560,560
518577,560,608
518577,576,416
518577,672,256
518577,688,176
518580,32,448
518580,80,384
518580,128,368
518580,160,384
518580,192,176
518580,192,208
518580,192,304
518580,208,96
518580,208,144
518580,224,96
518580,256,368
518580,272,304
518580,272,416
518580,288,416
518580,336,352
518580,352,416
518580,384,416
518580,400,368
518580,448,560
518580,496,528
518580,496,576
518580,528,592
518580,544,432
518580,560,496
518580,576,480
518580,624,224
518583,48,480
518583,64,384
518583,80,336
518583,112,368
518583,112,384
518583,160,176
518583,176,304
518583,192,96
518583,192,144
518583,256,112
518583,256,304
518583,256,384
518583,288,368
518583,288,400
518583,304,272
518583,320,304
518583,464,416
518583,528,464
518583,576,576
518583,576,592
518583,576,608
518583,640,176
518583,736,176
518586,48,528
518586,112,288
518586,160,160
518586,160,304
518586,176,336
518586,208,368
518586,272,272
518586,288,240
518586,320,288
518586,416,448
518586,512,448
518586,544,464
518586,544,480
518586,544,640
518586,560,448
518586,576,400
518586,672,240
518586,688,272
518586,768,208
518586,784,224
518589,32,432
518589,48,496
518589,80,416
518589,144,304
518589,192,144
518589,192,160
518589,208,160
518589,208,352
518589,224,208
518589,256,128
518589,256,400
518589,272,160
518589,304,240
518589,336,400
518589,448,544
518589,464,512
518589,544,464
518589,736,272
518592,32,480
518592,96,400
518592,144,192
518592,160,256
518592,160,352
518592,176,352
518592,176,368
518592,192,384
518592,224,272
518592,240,320
518592,256,112
518592,336,352
518592,480,480
518592,480,528
518592,480,592
518592,512,464
518592,512,496
518592,512,608
518592,752,208
518592,784,192
518595,0,496
518595,32,432
518595,32,512
518595,80,416
518595,112,352
518595,144,352
518595,176,112
518595,208,160
518595,208,320
518595,224,192
518595,256,192
518595,272,144
518595,272,240
518595,288,272
518595,320,304
518595,352,336
518595,464,464
518595,464,544
518595,496,528
518595,512,416
518595,544,656
518595,544,672
518595,576,576
518595,592,416
518595,592,544
518595,688,288
518595,736,256
518595,1088,688
518598,32,464
518598,48,512
518598,144,208
518598,160,160
518598,176,112
518598,176,400
518598,192,304
518598,192,400
518598,208,400
518598,224,208
518598,272,336
518598,304,208
518598,336,400
518598,416,384
518598,448,384
518598,448,432
518598,448,512
518598,464,528
518598,480,512
518598,544,368
518598,544,560
518598,560,368
518598,624,224
518598,688,224
518598,752,176
518601,64,448
518601,96,320
518601,96,336
518601,144,256
518601,144,288
